"rolleID","name"
"521","Mrs. Fiedler"
"567","Dr. Franklin"
"1205","Mrs Summer"
"671","Mr Copper"
"686","Mrs. Hazelwood"
"733","Mr Falkner"
"790","Mrs Willow"
"1011","Dr. Holloway"
"1130","Mr. Waterfield"
"1123","Dr. Frears"
"1163","Mrs. McGowan"
"1248","Mr. Holbrooke"
"1248","Mrs. Holbrooke"
"1310","Mr. Sesto"
"1305","Mr. Tornby"
"1597","Mr. Lewis"
"1420","Mrs. Pembroke"
"1421","Mr. Vaughn"
"1425","Mr. Cray"
"1435","Mrs Breckenridge"
"1439","Mr Garvine"
"1447","Mrs Fernandez"
"1452","Dr Wilcomb"
"797","Mrs. O'Rien"
"704","Dr. Svenson"
"906","Mr. Boyd"
"953","Mr. Taper"
"1011","Dr Holloway"
"1472","Mr. Faring"
"1574","Mr. Penny"
"1703","Mr Giggles"
"1785","Mrs Planter"
"1895","Ms Bowman"
"417","Mr. Duggan"
"1425","Mr Cray"
"1872","Miss Dutton"
"1857","Mrs. Roskin"
"663","Ms. Shoemaker"
"661","Mr. Truman"
"1377","Sgt. Morales"
"10","O. Ramos"
"393","Sax Sendler"
"971","Lowell Madera"
"447","Jean Baxter"
"510","Br. Benedikt"
"552","Inspector Kershaw"
"549","Eathon Easton"
"550","Lydia Cartier"
"640","Doe Dungeon"
"641","Lili Bushford"
"708","Prof. Phoenix"
"1878","Jeremiah King"
"784","Dr. Tiberius Wakefield"
"985","Prof. Alkurah"
"988","Sgt. Ludlow"
"1096","Barnaby Witherspoon"
"1097","Takai Yukawa"
"1097","Takasi Yikawa"
"1127","Jackall Madsen"
"1128","Tiger Madsen"
"1184","Curtis Fishe"
"1177","Mrs: Maruthers"
"1230","Prof. Heathcliff"
"1566","Leslie Louge Smith"
"1576","Neill Hooper"
"1638","Cecil Arbuthnott"
"671","Tricia Copper"
"2246","Axel Hamilton"
"578","Mrs. Maggie Seven"
"1806","Joe Stapleton"
"59","Sandy Allen"
"471","Emily Silverstone"
"796","Samuel Rothman"
"916","Dr. Philip Long"
"1872","Max Dutton"
"985","Prof Alkurah"
"1044","de Haas"
"1123","John Frears"
"1140","Ursula Burns"
"1186","Dergeant Madhu"
"402","Cole Benedict"
"1569","Mortimer Sisko"
"1703","Frank Corman"
"1978","Chief Hoouseholder"
"4","Bob"
"3","Peter"
"0","REGIE"
"1","Hitchcock"
"436","Cotta"
"618","Jelena"
"79","Skinny"
"196","Allie"
"1018","Davy"
"755","Nobel"
"995","C. Harkinson"
"995","Christine Harkinson"
"1093","Mr. Sinclair"
"27","Elmquist"
"-1","Murphy"
"30","Hassell"
"-1","Peter, Bob"
"-1","Justus, Peter"
"-1","Tommy"
"2150","Schwarzbart"
"-1","Allgemein"
"569","Mrs.Peterson"
"45","DwiggIns"
"-1","3???/ Gus"
"-1","3???"
"44","Gus"
"46","Rhandur"
"45","Dwiggins"
"59","Allen"
"-1","Shelby"
"-1","Die ???"
"-1","Carson"
"-1","1.Mann"
"-1","2.Mann"
"-1","3.Mann"
"-1","Carlson"
"-1","Calson"
"-1","Green"
"-1","Tonband"
"-1","Stimme"
"-1","Wikinger"
"-1","Indianer"
"-1","Radiostimme"
"-1","Kapitän/Sam"
"-1","Karl"
"-1","Bob/Peter"
"-1","Coulter/Sam"
"-1","Ingmar"
"-1","Manning"
"-1","Alle"
"-1","B + J"
"-1","P + B"
"-1","Tai"
"-1","Lama"
"-1","Jeremy"
"662","Mrs Jones"
"-1","Beide Polizisten"
"-1","Titus"
"-1","Robinshaw"
"-1","Peter."
"558","Mrs. Hanson"
"-1","Whitehead"
"-1","Wright"
"-1","John+Jeffrey"
"-1","White"
"-1","Die ganze Sekte"
"-1","Connors"
"-1","Demonstrant 1"
"-1","Demonstrant 2"
"-1","Assistentin"
"-1","Rossing"
"-1","Brackman"
"-1","Amy"
"-1","Monique"
"-1","Cowley"
"-1","Einer der Jungen"
"1553","Mr. Morland"
"-1","Priscilla"
"-1","Sicktree"
"-1","PS"
"-1","Wrenwick"
"-1","RW"
"-1","???"
"-1","Jonathan"
"-1","Buck"
"-1","Mrs. Rodman"
"-1","Valerie"
"-1","Mr. Rodman"
"-1","Benjamin"
"-1","Skull"
"-1","Duane Carpenter"
"-1","Francis oder Carol"
"-1","Einer der Männer"
"-1","3 ???"
"-1","Susan"
"-1","Bob, Peter"
"-1","Peter, Susan"
"-1","Justus, Bob"
"-1","Bob, Susan"
"-1","Julia"
"-1","Mrs. Claire Jordan"
"-1","Wolf"
"-1","Mr Qin"
"-1","Peter, Justus, Bob (unisono)"
"-1","Verstellte Stimme"
"-1","Christopher Barcley"
"-1","Mr. Godfrey"
"-1","Harper Knowsley"
"-1","Knowsley"
"-1","„Bob“ Bill Cooper"
"-1","Mr Appelgate"
"-1","Godween"
"-1","Mr Farnham"
"-1","Bob/Justus"
"-1","Justus/Peter"
"-1","Die drei ???"
"-1","Mr. Diffleton"
"-1","Justus, Peter, Bob"
"-1","Bob, Justus"
"1289","Prof. Mathewson"
"-1","Die drei Jungen"
"-1","Fiona"
"-1","1. Mann"
"1402","Vanessa Gooldstein"
"1402","Vanessa Goldstein"
"-1","2. Mann"
"-1","Fletcher"
"-1","Pherson"
"-1","Justus/Bob"
"-1","Laurent"
"-1","Ray"
"-1","Mr. Laurent"
"-1","Hannah Harding"
"-1","Carpenter"
"-1","Contreras"
"-1","Stapleton"
"-1","Bob, Peter und Mrs. Harding"
"-1","Ambler"
"-1","Harding"
"-1","Die Fragezeichen und Cotta"
"-1","Rodder"
"-1","Cris"
"1","Mr. Hitchcock"
"-1","Pico"
"-1","Peter, Justus"
"-1","Tante Patricia"
"-1","Bentley"
"-1","Mrs. Compton"
"-1","Hendricks"
"-1","Bettler"
"-1","Bob, Allie"
"-1","Doktor"
"-1","Dick Miller"
"-1","Jenny"
"-1","Publikum"
"-1","Mrs.Darnley"
"-1","Mrs.Darley"
"-1","Santora"
"-1","Mrs.Darnely"
"-1","Mr.Andersen"
"-1","Mr.Anderson"
"-1","Arbeiter"
"-1","Retter1"
"-1","Retter2"
"-1","Beide"
"-1","Sprecher"
"5","Mr. Fentriss"
"8","Waggoner"
"-1","Onkel"
"-1","Ramos"
"2150","Blackbeard"
"11","Hugenay"
"-1","1. Mitarbeiterin"
"-1","2. Mitarbeiterin"
"-1","Stebbins"
"16","Flora"
"-1","Cluny"
"-1","Mr. Maximilan"
"-1","Totenkopf"
"-1","Juana"
"-1","Simpson"
"74","Prof. Carswell"
"75","Hal"
"-1","Marechal"
"-1","Hal, Bob"
"-1","Peter, Hal"
"-1","Wilkins"
"-1","Yarborough"
"-1","Rex"
"-1","1. Araber"
"-1","2. Araber"
"-1","Rosa"
"-1","Grand"
"-1","Rex/Terrill"
"-1","Terrill"
"-1","Ted"
"109","Mrs Hammond"
"-1","Smathers"
"-1","Mr. Hall"
"-1","Callow"
"-1","Drei ???"
"-1","Ballinger"
"-1","Jackson"
"-1","Turner"
"-1","Reston"
"-1","Eftimin"
"-1","Tina"
"-1","Teufel"
"-1","Frankie"
"-1","Quail"
"-1","Hummer"
"-1","Wilkes"
"-1","Clay"
"-1","Wachmann"
"171","Mr. Togati"
"-1","Erzähler"
"-1","Jordan"
"-1","Rawley"
"-1","Taro"
"-1","Chuck"
"-1","Liliputaner"
"-1","Patrick"
"-1","Lars"
"-1","Forsberg"
"-1","Bert"
"-1","Johann"
"-1","Beefy"
"-1","William"
"-1","Mr. Grear"
"-1","Madeleine"
"-1","Ndula"
"-1","Hotelchef"
"-1","Ian"
"-1","Hitfield"
"-1","Don"
"-1","Tuckerman"
"-1","Die drei Fragezeichen"
"-1","Bonestell"
"-1","Strong"
"-1","Elsie"
"-1","Hubert"
"-1","Mr. Shaw"
"-1","Teriano"
"-1","DiStefano"
"-1","alter Mann"
"-1","Japaner"
"-1","Anderson"
"-1","Pfandleiher"
"-1","Glass"
"-1","Fotografen"
"-1","Shatterhand"
"-1","Flapjack"
"-1","Trixie"
"-1","Marilyn"
"350","Mr. Pilcher"
"-1","Sanchez"
"353","Mr. Durham"
"-1","Westerbrook"
"-1","Ramon"
"-1","Mr. Andrews"
"-1","drei ???"
"-1","Nancarrow"
"-1","Biff"
"375","DeMento"
"-1","Rottweiler"
"-1","Trash"
"-1","Rainey"
"-1","Morningbaum"
"-1","Gast"
"-1","Dustin Rice"
"-1","Ascensión"
"-1","Brit/Justus"
"-1","J. H. Butler"
"-1","Lara"
"-1","MacTavish"
"-1","Ty"
"-1","Peter, Bob, Maxi"
"-1","Cole"
"-1","Maxim"
"-1","Gracie"
"-1","El Tiburón"
"-1","Hatch"
"-1","Wick Hamil"
"-1","Wick"
"-1","Mr. Harper"
"-1","„Michael Anthony“"
"-1","„Anthony“"
"-1","Duggan"
"-1","Elisabeth"
"-1","Yan"
"-1","Branson"
"-1","Rome"
"-1","Pecker"
"-1","Chosmo"
"-1","Van Well"
"-1","Jaubert"
"-1","Jean"
"-1","Sinagua"
"-1","René"
"-1","Joan"
"-1","Hendrik Walton"
"-1","Landman"
"-1","Field"
"-1","Glenn"
"-1","Descanso"
"-1","Hutchins"
"-1","Andrews"
"-1","Dieb"
"-1","Stadionsprecher"
"-1","Clint Adams"
"-1","Amanda"
"-1","Mr. Simpson"
"-1","Silverstone"
"-1","Mr. Jones"
"-1","Verkäuferin"
"-1","Jimboy"
"-1","Portier"
"-1","Bow"
"-1","Mostovsky"
"-1","Teilnehmer"
"-1","#'Drei Fragezeichen'"
"-1","Ignazio"
"-1","Sofia"
"-1","Spinne"
"-1","Unbekannte"
"-1","Babette"
"-1","Koch"
"-1","Emil Mylnár"
"-1","Mr Brady"
"-1","Model"
"-1","Sally"
"-1","Besucherin"
"-1","Washington"
"-1","Sofie"
"-1","Lautsprecher"
"-1","Mister Jefferson"
"-1","Mister Dimitrios"
"-1","Raul Santoria"
"-1","Lu Kwan"
"-1","Telefonist"
"-1","McLaughin"
"-1","Copper"
"-1","Sinclair"
"-1","Walsh"
"-1","Lansana"
"-1","Museumsbedienstete"
"-1","Miss Madigan"
"-1","Sigourney"
"-1","Gregston"
"-1","Mrs Atson"
"-1","Krieger"
"-1","Metzla"
"-1","Mrs. Holligan"
"573","Cliffwater"
"-1","MacMannoman"
"589","Needle"
"-1","Peter/Bob"
"2187","Mrs Fletcher"
"2433","Mr Fletcher"
"-1","Mrs Jonas"
"-1","Toni"
"-1","Julio DaElba"
"-1","Mr Art"
"610","Prof. Steed"
"-1","Mr Hanson"
"615","Dr. Helprin"
"-1","Mr.Andrews"
"-1","Vanderhell"
"-1","Mr. Peacock"
"-1","Polizisten"
"-1","Kundin"
"-1","Peter&Bob"
"-1","Bob&Peter"
"-1","MacDunno"
"-1","Moore"
"-1","Black"
"-1","Mr Jackson"
"-1","Lilly"
"-1","Mr Steward"
"-1","Charkov"
"-1","Janet"
"-1","Feuerwehr"
"-1","Franks"
"-1","Mrs Shaw"
"-1","Ferguson"
"-1","Mr Smith"
"-1","Paradise"
"-1","Rawlings"
"-1","Mrs White"
"-1","Mr. Messway"
"-1","Johnny"
"-1","Prof. Phoenix, Dr. Svenson, Al & Juan"
"-1","Prof. Phoenix, Al & Juan"
"-1","Funkgerät"
"-1","Soldat"
"-1","TV-Erzähler"
"-1","Werbefrau"
"-1","Harvey Radcliffe"
"-1","Mr Masterson"
"-1","Mrs Masterson"
"-1","Barkeeperin"
"-1","Verzerrte Stimme"
"-1","Mrs Sutton"
"-1","Betty Sutton"
"-1","Mrs Wood"
"-1","Mrs Baker"
"-1","Pirat"
"-1","Peter/Justus"
"-1","Lythia"
"-1","J. Stanley"
"-1","Henker"
"-1","Flemings"
"-1","Die Fragezeichen"
"-1","Brad Flemings"
"-1","Ewan Donovan"
"-1","Lake"
"-1","die drei Jungen"
"-1","mehrere"
"-1","alle"
"-1","Horowitz"
"-1","Anrufbeantworter"
"-1","Frauenstimme"
"-1","Caitlin"
"-1","Craig"
"-1","Parker"
"-1","Die drei Detektive"
"-1","McQuire"
"-1","Reno"
"-1","Jaccard"
"-1","Graham"
"-1","LKW- Fahrer"
"-1","Knox"
"-1","Dr. Timothy Chandler"
"-1","Chandler"
"-1","Bright"
"-1","Justus/Peter/Bob"
"-1","Inspektor Cotta"
"-1","Felicia"
"-1","Mrs. Sparing"
"-1","Justus, Bob, Peter"
"-1","Erroll"
"-1","Ganove 1"
"-1","Ganove 2"
"-1","Ganove 3"
"-1","Ganove 4"
"-1","Ganove 5"
"-1","Ganove 6"
"-1","Ganove 7"
"-1","Ganove 8"
"-1","männliche Stimme"
"-1","Elvira"
"-1","Darren"
"-1","Carl"
"-1","Die anderen"
"-1","Peter, Davy"
"-1","Putzmann"
"-1","Davy, Bob"
"-1","Davy, Peter"
"-1","Justus, Bob, Davy"
"-1","Dorfbewohner"
"-1","Otis"
"-1","Sylvester"
"-1","Jacki Jon"
"-1","Der Meister:"
"-1","Winston Wadleigh"
"-1","Sammy/Jamie"
"-1","Geisterstimme"
"-1","Vermummter"
"-1","Wever o. Prescott"
"-1","Mr. Fraser"
"-1","Mina"
"-1","Mr. Chilton"
"-1","Sportreporter"
"-1","Komplize"
"-1","Mr. Burk"
"-1","Handlanger"
"-1","Mt. Torrance"
"-1","Guinevere"
"-1","Fred"
"-1","Goodwin"
"-1","Prof. Brewster"
"-1","Mr. Holt"
"-1","Petre"
"-1","Teufelsgestalt"
"-1","Andere Spieler"
"-1","Jeanny Chase"
"-1","Grey"
"-1","The Destroyer"
"-1","Earl"
"-1","Peter, Luke und Bob"
"-1","Mrs. Farnham"
"-1","Mrs Farnham"
"-1","Grace"
"-1","Quadfahrer"
"-1","Mr Bright"
"-1","Mr Andrews"
"-1","Studentin"
"-1","Mr Roalstad"
"-1","Studentenmenge"
"-1","Erster Polizist"
"-1","Mrs Roalstad"
"-1","Garvine"
"-1","Vermummte"
"-1","Dr. Burke"
"-1","Ronald Smith"
"-1","JPB"
"-1","RS"
"-1","'""Phantom""'"
"-1","O'Sullivan"
"-1","Mrs. O'Donnell"
"-1","O'Brian"
"-1","Morten"
"-1","McDermott"
"-1","Dusty"
"-1","Holly"
"-1","Weibliche Stimme"
"-1","Miranda"
"-1","Mrs Cooper"
"-1","Kenneth O'Ryan"
"-1","Titus Jonas"
"-1","Peter und Bob"
"-1","Peter und Justus"
"-1","Mr Rice"
"-1","Katee Parker"
"-1","Geronimo Johnson"
"-1","Sergeant Cooper"
"-1","Patrick O'Ryan"
"-1","Männlicher Gast"
"-1","Weiblicher Gast"
"-1","Gäste"
"-1","1 niederl."
"-1","2 niederl."
"-1","3 niederl."
"-1","Meister. Spezialität"
"-1","Alle sagen"
"-1","Mister Felix"
"-1","Mrs. Smith"
"-1","Mister Jenkins"
"-1","Alle drei"
"-1","Justus und Peter"
"-1","Gerald Kramer"
"-1","Mr.Hall"
"-1","Stimme aus Funkgerät"
"-1","Erster Detektiv"
"-1","Historiker"
"-1","Mrs. Durham"
"-1","P.u.J."
"-1","PuB"
"-1","P.u.B."
"-1","PuB,Mary"
"-1","Griswold"
"-1","Mrs. Fields"
"-1","Justus und Bob"
"-1","Peter, Bob, Tony"
"-1","Judy Callman"
"-1","Judy"
"-1","Mann1"
"-1","Mann4"
"-1","Luis"
"-1","Jim Bernady"
"-1","Kelly"
"-1","Lowell"
"-1","George"
"-1","George &' Bob"
"-1","Personen"
"-1","John Worren"
"-1","Dávid"
"-1","Justus &' Bob"
"-1","Peter &' Bob"
"-1","Viele Mädchen"
"-1","Peter & Bob"
"2","Justus Jonas"
"3","Peter Shaw"
"-1","Lys de Kerk"
"-1","Virginia Bloomingdale"
"-1","Virginia"
"-1","Miss Clayburn"
"-1","Stella Ashley"
"-1","Bob und Peter"
"-1","Walton"
"-1","Demonstranten"
"-1","Demonstrantin"
"-1","Anne Baxter"
"-1","Bob & Peter"
"-1","Michael Oames"
"-1","Gruppe und Peter"
"-1","Stimme 1"
"-1","Dan Jordan"
"-1","Männerstimme"
"-1","Speed-Mann"
"-1","Trainer Roger"
"-1","Karen und Bob"
"-1","Nicola Schalla"
"-1","Streckenposten Henry"
"-1","Alle vier"
"-1","Prof Steed"
"-1","Kapitän Jason"
"-1","Scott Ambler"
"-1","Jeff Rodder"
"-1","Schrille Stimme"
"-1","Mr. Qin"
"-1","Bob / Peter"
"-1","Mr Cooper"
"-1","Frau des Bürgermeister"
"-1","Mr Jackon"
"-1","Stimmen"
"-1","Juan"
"-1","Justus, Peter & Bob"
"-1","Echo"
"-1","Al, Dr. Svenson & Juan"
"-1","Justus & Peter"
"-1","Barbara Stevens"
"-1","Alle Jungs"
"-1","Justus & Bob"
"-1","Professor Clark"
"-1","Pit Jones"
"-1","Kleiner Fuchs"
"-1","Phantomstimme"
"-1","Mrs. Willows"
"-1","Bob & Justus"
"-1","Computerstimme 1"
"-1","Computerstimme 2"
"-1","Justus, Titus"
"-1","Magthilda"
"-1","Skinner"
"-1","Goodwyn"
"-1","Martha Lynn"
"-1","Mann in der Kirche"
"-1","Bob und Justus"
"-1","Dr. Sotherby"
"-1","Peter & Justus"
"-1","Ms. Lloyd"
"-1","Mr. Thondike"
"-1","Fragezeichen"
"-1","Frank Campbell"
"-1","Campbell"
"-1","William Kingsley"
"-1","Sarah Kingsley"
"-1","Kingsley"
"-1","Alle Drei"
"-1","Bob& Justus"
"-1","Morton"
"-1","Peter& Bob"
"-1","Justus& Bob"
"-1","Peter& Justus"
"-1","Mrs.Wallace"
"-1","4 nicht ganz richtig"
"-1","Monroe"
"-1","Smith"
"-1","Retter"
"-1","Justus + Peter"
"-1","Justus + Peter + Bob"
"-1","Justus + Bob"
"-1","Peter + Bob"
"-1","Bob + Cotta"
"-1","Anrufbeantworter-Bob"
"-1","Officer Johnson"
"-1","Mönch"
"-1","Hurst"
"-1","Peter / Bob"
"-1","Darrem"
"1013","WinstonGranville"
"-1","MatthewGranville"
"-1","Mr.Jackmore"
"-1","ProfessorFrazier"
"-1","Sylvester Proud"
"-1","Menschenmenge"
"-1","Mr. Chinks"
"-1","Seaman"
"-1","Archiv"
"-1","Schakal-Mensch"
"-1","Carol Fox"
"-1","Der Meister"
"-1","Alle Schüler"
"-1","Justus, Jamie"
"-1","Max Wever"
"1135","Edward Crocket"
"-1","Allie Jamison"
"-1","Der andere Mann"
"-1","Bob und Roxy"
"-1","Rank Mason"
"-1","Tony Amoroso"
"-1","Frau bei Polizei"
"-1","Mr, Chilton"
"1219","Mr. O'Donnell"
"-1","Sheriff Picket"
"-1","Mr. Holbrook"
"-1","Sheila Masters"
"-1","Jenna"
"-1","Peter und Just"
"-1","Prof Brewster"
"-1","Mr. Cobble"
"-1","Fynch Hunterman"
"-1","Fynch und Justus"
"1312","Lenni Carson"
"-1","Alle zusammen"
"1326","Randy Chase"
"-1","Jeanne Chase"
"1329","Tara Finn"
"-1","Peter und Randy"
"-1","Ginette Giorgianis"
"-1","Ranger Thronton"
"-1","Nash Grayston"
"-1","July Nigel"
"-1","Bob und Cotta"
"-1","Thomas Malone"
"-1","Crane"
"-1","Jupe"
"-1","Peter + Justus"
"-1","Sanitäter Matt"
"-1","Sanitäter Stephen"
"-1","Telefondurchsage"
"-1","Puppe"
"-1","Puppe 2"
"-1","Puppe 3"
"-1","Puppen"
"-1","Anderer Mann"
"-1","April und Joshua"
"-1","Alle Jungen"
"-1","Sandra Martinez"
"-1","Fernseher"
"-1","Fernseherstimme"
"-1","Laura Berret"
"-1","Gerald Berret"
"-1","Stewart Collins"
"-1","Stimme vom AB"
"-1","Andy McBranton"
"-1","Justus und Bruce"
"-1","Jeff Renalso"
"-1","Bruce Jeff"
"-1","Inspektorin"
"-1","Folder"
"-1","Augenzeugin"
"1896","Huxley"
"-1","Mr Credic"
"-1","Mr Shuiver"
"-1","Mrs Shuiver"
"-1","Mrs S"
"-1","Kenneth O`Ryan"
"-1","Tricia Cooper"
"-1","Mr.Shaw"
"-1","Mr.Evans"
"-1","Shirley"
"-1","Winkler"
"-1","Br. Raphael"
"-1","Inspektor"
"-1","Ober"
"-1","Pat"
"-1","Rosenberg"
"-1","Farnham"
"1426","Mr Lloyd"
"-1","Mrs. Shatner"
"-1","Mr. Furhouse"
"-1","Mrs. McFerry"
"-1","Concierge"
"-1","Maggie Shatner"
"-1","Zach"
"-1","Captain Gentry"
"-1","Devlin"
"-1","Kommissarin"
"-1","R. George"
"-1","Mrs. Fleckensteen"
"-1","Autofahrerin"
"-1","Peter,Bob"
"-1","'""Bob"" Bill Cooper'"
"-1","Nal"
"-1","Mrs. Jones"
"-1","MacWeiden"
"-1","MacGeorge"
"-1","Campingwarts"
"-1","Justus+ Bob+ Peter"
"-1","Mr Jonas"
"-1","Randolph"
"-1","Bediensteter"
"-1","Jumboy"
"-1","'""Anthony""'"
"-1","Berry Norman"
"-1","Klint"
"-1","Renolds"
"-1","Partygast"
"-1","'""Michael Anthony""'"
"-1","Fan"
"-1","Cheerleader"
"-1","Frauenstimmen"
"515","Polizist 1"
"516","Polizist 2"
"-1",Abraham King"
"-1","Jacob King"
"-1","Soldat."
